	YODLEE_MERCHANT_NAME	counts	Date
0	7-ELEVEN	6	201401
1	AMPCO SYSTEM PARKING	1	201401
2	CHASE PAYMENTECH	1	201401
3	DOMINICKS	1	201401
4	FIVE GUYS BURGERS & FRIES	2	201401
5	FRED MEYER	2	201401
6	FRED MEYER FUEL CENTER	1	201401
7	GOODWILL	2	201401
8	NORDSTROM	2	201401
9	SAKS FIFTH AVENUE	1	201401
10	SHOPIFY WEB DESIGNER	1	201401
0	7-ELEVEN	8	201409
1	AMPCO SYSTEM PARKING	1	201409
2	FAMILY DOLLAR STORE	3	201409
3	FARM FRESH SUPERMARKETS	1	201409
4	FRED MEYER	1	201409
5	HILLER'S MARKET	1	201409
6	KIA DEALER	1	201409
7	MARSHALLS	1	201409
8	NORDSTROM	1	201409
9	SPRINT	1	201409
10	TOM THUMB FOOD	1	201409
0	7-ELEVEN	8	201701
1	AMPCO SYSTEM PARKING	1	201701
2	FAMILY DOLLAR STORE	3	201701
3	FARM FRESH SUPERMARKETS	1	201701
4	FRED MEYER	1	201701
5	HILLER'S MARKET	1	201701
6	KIA DEALER	1	201701
7	MARSHALLS	1	201701
8	NORDSTROM	1	201701
9	SPRINT	1	201701
10	TOM THUMB FOOD	1	201701
0	7-ELEVEN	6	201712
1	ADVANCE AMERICA	1	201712
2	AQUA FINANCE	1	201712
3	CLIPPER SERVICES	1	201712
4	FAMILY DOLLAR STORE	2	201712
5	FRED MEYER	1	201712
6	KANGAROO EXPRESS	1	201712
7	MERCHANT BANKCARD	1	201712
8	MUSIC & ARTS CENTER	1	201712
9	NORDSTROM	1	201712
10	PEAK GAMES	1	201712
11	SPRINT	1	201712
12	TEETER	1	201712
13	WISH COMPANY	1	201712
